BOF Annual Report #,Subject,Proposed By,Action,Subject Details,Sources Cited (Subject),Proposer Details,Sources Cited (Proposer),Recommend Deeper Dive?,Recommendation Reasoning,source_sheet,subject_text,action_text,reasoning_text,proposer_text,status,technology_clusters,primary_cluster,proposer_type,year,is_approved,is_rejected,is_investigating,source_file
1898-1899,Indicator for range-finder readings,L.E. Spang Lieut. S. E. Allen,Report filed, , , , ,No, ,Sheet1,Indicator for range-finder readings,Report filed,,L.E. Spang Lieut. S. E. Allen,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Shell,O. A. Amundson,Not recommended, , , , ,No, ,Sheet1,Shell,Not recommended,,O. A. Amundson,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Compound riffle barrels,Albert Bolm,Referred to Chief of Ordnance,"Gun barrels design composed of different materials layered on each other. Referred to Chief of Ordnance but eventually dismissed, never even reached prototype stage. Likely as reliable steel barrels were already widespread and commercially available (Krupp, Bethlemen Steel...)","-Annual Report of the Board of Ordnance and Fortification, 1900, Appendix B","Completely unknown, no other mention could be found outside of the log","-Annual Report of the Board of Ordnance and Fortification, 1900, Appendix B",No,Unsuccesful design,Sheet1,Compound riffle barrels,Referred to Chief of Ordnance,Unsuccesful design,Albert Bolm,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Shell,Thurman Lindsey,Not recommended, , , , ,No, ,Sheet1,Shell,Not recommended,,Thurman Lindsey,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Movable torpedo,J. F. Watson,Not recommended, , , , ,No, ,Sheet1,Movable torpedo,Not recommended,,J. F. Watson,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Armor-piercing shells,Gustav Dittmar,Not recommended, , , , ,No, ,Sheet1,Armor-piercing shells,Not recommended,,Gustav Dittmar,Investigating,['Armor and Protection'],Armor and Protection,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Rapid-fire gun,Leo S. Whitebead,Not recommended, , , , ,No, ,Sheet1,Rapid-fire gun,Not recommended,,Leo S. Whitebead,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Gun construction,Z. T. Hoskins,Adverse action adhered to, , , , ,No, ,Sheet1,Gun construction,Adverse action adhered to,,Z. T. Hoskins,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Conversion of Rodman guns into 8-inch rifles,Z. T. Hoskins,Not recommended, , , , ,No, ,Sheet1,Conversion of Rodman guns into 8-inch rifles,Not recommended,,Z. T. Hoskins,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Machine gun,F. Rossi,Not recommended, , , , ,No, ,Sheet1,Machine gun,Not recommended,,F. Rossi,Investigating,"['Artillery', 'Small Arms']",Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Driggs-Seabury subcaliber tube,"Board on Regulation of Sea-
coast Artillery Fire",Allotment,"A subcaliber tube is inserted into a cannon to decrease its caliber, thereby allowing it to fire smaller rounds, used for testing and training purposes. Subcaliber tubes became widely used during this time and are used to this day. This particular version  was likely an internal prototype and contributed to the development of the device.",https://www.govinfo.gov/content/pkg/SERIALSET-03875_00_00-042-0379-0000/pdf/SERIALSET-03875_00_00-042-0379-0000.pdf,Internal testing, ,Yes,An invetion that had a small but considerable impact on the development of artilery.,Sheet1,Driggs-Seabury subcaliber tube,Allotment,An invetion that had a small but considerable impact on the development of artilery.,"Board on Regulation of Sea-
coast Artillery Fire",Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Air ship,Robert S. Gabboy,Not recommended, , , , ,No, ,Sheet1,Air ship,Not recommended,,Robert S. Gabboy,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Gatling 8-inch gun, ready for test",Chief of Ordnance,Report filed,"Commisioned by a Special Act of Congress fo 1896, which appropriated 40,000$. It was delivered and tested at Sandy Hook in 1898 but was not adopted in the end.","Annual Report of the Board of Ordnance and Fortification, 1898-99, Page 7",Internal project," Annual Report of the Board of Ordnance and Fortification, 1898-99, Page 7",No,"Not succefuly adopted for usage, just another unsuccessful cannon trial",Sheet1,"Gatling 8-inch gun, ready for test",Report filed,"Not succefuly adopted for usage, just another unsuccessful cannon trial",Chief of Ordnance,Investigating,['Artillery'],Artillery,Government,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Pneumatic gun carriage, accident to",Pneumatic Gun Carriage and Power Co.,Filed,"Pneumatic guns are a type of artillery where shells are propelled not by a controlled explosion but by pneumatic pressure, research into these devices was very widespread in the 1880s-1890s. This particular gun was  built on the USS Terror and was enplaced in 1897, serving throughout the Spanish-American War. However, pneumatic guns never experienced widespread use.","https://www.loc.gov/resource/sn83030214/1891-04-13/ed-1/?sp=2&st=text&r=0.807,0.175,0.189,0.262,0","-1888- Navy Contracts Company to construct Gun.1891 
-1891- New York Tribune mentions Terror to be built with a pneumatic gun-carriage.  
-1893–94 — Board reports discuss pneumatic carriage/power among current projects.  
-1897 — Navy installs pneumatic gun on USS Terror after experiencing setbacks.
-1901 - Company wins lawsuit against Navy for damages due to USS Terror’s construction being late",https://app.midpage.ai/document/pneumatic-gun-carriage-power-co-8584633,No,Seems to be a technology that only experienced a very limited and insignificant utilitization. It virtually dissapeared roughly 10 yeras after being invented,Sheet1,"Pneumatic gun carriage, accident to",Filed,Seems to be a technology that only experienced a very limited and insignificant utilitization. It virtually dissapeared roughly 10 yeras after being invented,Pneumatic Gun Carriage and Power Co.,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Changes in position of mortars in battery,"Board on Regulation of Sea
coast Artillery Fire",Not recommended, , , , ,No, ,Sheet1,Changes in position of mortars in battery,Not recommended,,"Board on Regulation of Sea
coast Artillery Fire",Investigating,['Fortification and Engineering'],Fortification and Engineering,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Brown segmental wire-wound gun, ready
for test",Brown & Munsell,Filed,"Segmental guns were guns made of multiple layers of high tensile steel wire. Many experiments with these guns were conducted in the 1890s. Although the Board procured a model (33,000$) and tested it at Sandy Hook, eventually the it rejected this particular design.","https://timesmachine.nytimes.com/timesmachine/1893/08/26/109704175.html?pageNumber=5 
-Annual Report of the Board of Ordnance and Fortification, 1898-99, Page 7","Apart from the inventor's name (Charles H. Brown) and place of work (Reading, Pennsylvania) no further information is available", ,No,Never got beyond prototype stage,Sheet1,"Brown segmental wire-wound gun, ready
for test",Filed,Never got beyond prototype stage,Brown & Munsell,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Projectiles, nature of, for dynamite gun",Sims-Dudley Defense Сo,Recommended,See line 121 for details, , , ,Yes, ,Sheet1,"Projectiles, nature of, for dynamite gun",Recommended,,Sims-Dudley Defense Сo,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Glover gun,Geo. T. Glover,Not recommended, , , , ,No, ,Sheet1,Glover gun,Not recommended,,Geo. T. Glover,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Torpedo,J. A. Gilkerson,Not recommended, , , , ,No, ,Sheet1,Torpedo,Not recommended,,J. A. Gilkerson,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Models of projectiles, etc",Chief of Ordnance,Allotment,"No reference was forthcoming, seems to be a miscelanenous category that includes the plethora of items ordered by the Chief of Engineers", , , ,No,Insignificant,Sheet1,"Models of projectiles, etc",Allotment,Insignificant,Chief of Ordnance,Investigating,[],Other/Unclassified,Government,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Shell,A. W. Eldredge,Not recommended, , , , ,No, ,Sheet1,Shell,Not recommended,,A. W. Eldredge,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Shell, armored bicycle, etc",George F. Cole,Not recommended, , , , ,No, ,Sheet1,"Shell, armored bicycle, etc",Not recommended,,George F. Cole,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Illuminating grenade,Т. Тоссаceli,Not recommended, , , , ,No, ,Sheet1,Illuminating grenade,Not recommended,,Т. Тоссаceli,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Gun construction,C. Pettinella ,Not recommended, , , , ,No, ,Sheet1,Gun construction,Not recommended,,C. Pettinella,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Fuse and air ship,C. A. Moberg,Not recommended, , , , ,No, ,Sheet1,Fuse and air ship,Not recommended,,C. A. Moberg,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Formula of an explosive,O. L. Ward,Not recommended, , , , ,No, ,Sheet1,Formula of an explosive,Not recommended,,O. L. Ward,Investigating,['Explosives'],Explosives,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Spring recoil attachment,W. T. Carroll,Not recommended, , , , ,No, ,Sheet1,Spring recoil attachment,Not recommended,,W. T. Carroll,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Air ship,Hite Manufacturing and Navigation Co.,Not recommended, , , , ,No, ,Sheet1,Air ship,Not recommended,,Hite Manufacturing and Navigation Co.,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,"Gatling 8-inch gun, report of failure",Ordnance Board,Allotment revoked,See line 24 for details, , , ,No, ,Sheet1,"Gatling 8-inch gun, report of failure",Allotment revoked,,Ordnance Board,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Willlam A. Landt,Not recommended,"-There were no less than 45 different ""Airship"" designs submmitted to the Board of Ordnance in the years 1898-1899 (in blue). They represent 24.3% of all submissions. Apart from the Langley aeroplane, all of them were rejected. Here are some observations:

-Airplane arms race: Pre-WW1, the western world experienced an arms race to develop the first functional airplane. While the Wright Brothers ultimately won this race on December 17, 1903, many other prototypes were simultaneously developed. The surge in aerospace research activity is very obvious in the research report and the sheer volume of unsuccessful prototypes is quite interesting
-Grass-roots process: except Langley's model, all of the submissions came from local engineers/inventors who lacked formal education. This trend shows that the Board of Ordnance was a surprisingly democratic, as it received submissions from inventors outside of the military and academia. This mirrors the Navy’s WW1 Board, which also reviewed thousands of submissions from non-professional backgrounds.

-More particularly, the Board itself states that the volume is likely a result of a member of the Board leaking the allotment given to S. P. Langley for the development of the well known Langley aeroplane:

“It will be noted that there has been a marked increase in the number of flying machines, aerodromes, and other similar devices designed for air navigation. This is no doubt due to the unauthorized publication in the daily press, some months ago, of the fact that the Board had made an allotment of funds to enable Mr. S. P. Langley, Secretary of the Smithsonian Institution, to personally conduct a series of practical experiments in this line of miilitary investigation.

", , , ,No," There is a lack of available information on these models. In addition, despite being interesting, the models were likely not very well designed",Sheet1,Airship,Not recommended,"There is a lack of available information on these models. In addition, despite being interesting, the models were likely not very well designed",Willlam A. Landt,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Louls H. Kromm,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Louls H. Kromm,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Lohmann Weill,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Lohmann Weill,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,A. E. Redstone,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,A. E. Redstone,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Charles F. HilI,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Charles F. HilI,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Owen E. Furey,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Owen E. Furey,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,William Metz,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,William Metz,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Pompeo Pieri,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Pompeo Pieri,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Willlam Bacon,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Willlam Bacon,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,J. F. Wilkinson ,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,J. F. Wilkinson,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,William S. Wills,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,William S. Wills,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,W.I. Simpson,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,W.I. Simpson,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,O. A. Meberg,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,O. A. Meberg,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,F. M. Shaw,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,F. M. Shaw,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,S. T. Best,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,S. T. Best,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,I. Heising,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,I. Heising,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,Thomas R. Kent,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,Thomas R. Kent,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,J. D. Graybill,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,J. D. Graybill,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Airship,George F. Wittun ,Not recommended, , , , ,No, ,Sheet1,Airship,Not recommended,,George F. Wittun,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Position finder,James La Grange,Not recommended, ,,, ,No, ,Sheet1,Position finder,Not recommended,,James La Grange,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Meridian plate,E. A. Crandall,Not recommended, ,,, ,No, ,Sheet1,Meridian plate,Not recommended,,E. A. Crandall,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Scissors gun ,J. F. Watson,Not recommended, ,,, ,No, ,Sheet1,Scissors gun,Not recommended,,J. F. Watson,Investigating,['Artillery'],Artillery,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
1898-1899,Thorite,Dr. H. P. Tuttle,Allotment,"Very interesting invention. As the US Army/Navy was looking for an explosive to replace dynamite, it tested many alternatives. The most promising one ended up being Thorite,(not be confused with the element thorium of the periodic table). Being a nitrate mixture, it was more stable and reliable than dynamite, while still retaining explosive capacity. It was extensively tested at Sandy Hook, however, it was not adopted in the end and fell into obscurity. Outside of Navy Board of Ordance Documents and one news report, there is no other mention of this substance.",https://cdnc.ucr.edu/?a=d&d=SFC18990828.2.7&e=-------en--20--1--txt-txIN--------,"H. P. Tuttle was an astronomer, Civil War Veteran, and astronomer. After serving in the Civil War, he became an avid comet-seeker. Not much else is known about him.",https://en.wikipedia.org/wiki/Horace_Parnell_Tuttle,Yes,Fascinating obscure explosive that was completely forgotten for over 100 years.,Sheet1,Thorite,Allotment,Fascinating obscure explosive that was completely forgotten for over 100 years.,Dr. H. P. Tuttle,Investigating,[],Other/Unclassified,Private,1898,0,0,1,Copy of Subjects Considered 1898-1899.xlsx
